1 input_1.asc: UAV Cruise and satellite targeting ' UAV ' Nov  2 2023 17:15:34
  0  0 48
time            FSPV1           FSPV2           FSPV3           pdynmc          
mach            lonx            latx            alt             dvbe            
psivgx          thtvgx          SBEG1           SBEG2           SBEG3           
VBEG1           VBEG2           VBEG3           mprop           cg              
thrust          cl_ov_cd        psivgcx         thtvgcx         anx             
avx             alphax          phimvx          phicx           phix            
qq              tip             alp             ancomx          alcomx          
alx             altd            altcom          wp_grdrange     wp_flag         
range_go        STBG1           STBG2           STBG3           time_go         
psisbx          thtsbx          mtargeting      
0               0.854382        0               -1.85961        11790           
0.640464        14.7003         35.4            7000            200.021         
90.0005         -0.0560967      -4.67125e-05    10.0005         0.00489589      
-0.0018685      200.021         0.195836        4               133.668         
1342.26         3.81163         90              0               0.189791        
0               0.171101        -0.621118       -12.4224        -0.621118       
0.119451        2.79005         0.00298627      1.0202          -0.0206828      
0               -0.195836       7000            18098.6         0               
0               0               0               0               0               
0               0               0               
0.2             1.19119         -0.199815       -3.46786        11813.4         
0.641094        14.7008         35.4            6999.81         200.26          
89.9978         -0.467357       -0.000137081    50.0273         0.193096        
0.00763138      200.254         1.63349         6               133.668         
1676.51         7.08594         90              0               0.351707        
0               1.67472         -3.71566        -6.58666        -3.71566        
0.14684         2.775           0.0292294       1.1751          -0.0202734      
-0.020393       -1.63349        7000            18058.6         0               
0               0               0               0               0               
0               0               0               
0.4             1.11758         -0.401126       -5.49771        11843.8         
0.641901        14.7012         35.4            6999.37         200.513         
89.9824         -0.768777       0.00614645      90.1022         0.631808        
0.0615203       200.495         2.69034         6               133.669         
1676.5          9.74764         90              0               0.556113        
0               3.30521         -4.15675        -3.71174        -4.15675        
0.162397        2.77151         0.0576869       1.29733         -0.0180454      
-0.0409387      -2.69034        7000            18018.6         0               
0               0               0               0               0               
0               0               0               
0.6             0.953098        -0.509474       -7.58551        11873.3         
0.642674        14.7016         35.4            6998.76         200.75          
89.9581         -0.951595       0.0266316       130.224         1.24076         
0.146727        200.722         3.33399         6               133.669         
1676.5          10.4011         90              0               0.765792        
0               4.94007         -3.68395        -2.17009        -3.68395        
0.168299        2.76803         0.0862205       1.38111         -0.0145212      
-0.0519966      -3.33399        7000            17978.5         0               
0               0               0               0               0               
0               0               0               
0.8             0.711254        -0.526097       -9.5885         11899.3         
0.643346        14.7021         35.4            6998.06         200.95          
89.9304         -1.01691        0.0656755       170.389         1.93707         
0.244231        200.919         3.56638         6               133.669         
1676.49         9.86053         90              0               0.966794        
0               6.47255         -2.95072        -1.23973        -2.95072        
0.165078        2.76486         0.112967        1.42518         -0.0104702      
-0.0536932      -3.56638        7000            17938.4         0               
0               0               0               0               0               
0               0               0               
1               0.425444        -0.475459       -11.379         11919.5         
0.643861        14.7025         35.4            6997.36         201.099         
89.9037         -0.973555       0.124048        210.589         2.64101         
0.337902        201.07          3.41686         6               133.669         
1676.49         9.03163         90              0               1.14674         
0               7.81267         -2.21577        -0.653823       -2.21577        
0.153792        2.76229         0.136357        1.43065         -0.00654864     
-0.0485251      -3.41686        7000            17898.3         0               
0               0               0               0               0               
0               0               0               
1.2             0.140213        -0.387307       -12.8552        11932.7         
0.644188        14.703          35.4            6996.72         201.188         
89.8812         -0.836801       0.199837        250.813         3.28115         
0.417211        201.166         2.93823         6               133.67          
1676.48         8.31011         90              0               1.29551         
0               8.89135         -1.57739        -0.281707       -1.57739        
0.135923        2.76049         0.155183        1.40087         -0.00318729     
-0.0395283      -2.93823        7000            17858.1         0               
0               0               0               0               0               
0               0               0               
1.4             -0.0997442      -0.287206       -13.947         11938.7         
0.644325        14.7034         35.4            6996.2          201.218         
89.8641         -0.626739       0.2896          291.051         3.7985          
0.477266        201.206         2.20101         6               133.67          
1676.48         7.79837         90              0               1.40587         
0               9.66306         -1.06273        -0.0480351      -1.06273        
0.113252        2.75952         0.168652        1.34117         -0.000589741    
-0.0293121      -2.20101        7000            17817.9         0               
0               0               0               0               0               
0               0               0               
1.6             -0.259644       -0.192892       -14.6182        11938.5         
0.6443          14.7039         35.4            6995.85         201.201         
89.8526         -0.366409       0.389379        331.292         4.14938         
0.517559        201.196         1.28668         6               133.67          
1676.48         7.49881         90              0               1.47388         
0               10.1067         -0.667626       0.0946357       -0.667626       
0.0877146       2.75932         0.176394        1.25845         0.00121803      
-0.0196864      -1.28668        7000            17777.7         0               
0               0               0               0               0               
0               0               0               
1.8             -0.321113       -0.114165       -14.8659        11933.7         
0.644163        14.7043         35.4            6995.69         201.153         
89.8461         -0.0799268      0.495418        371.527         4.30687         
0.540359        201.152         0.280605        6               133.671         
1676.48         7.3911          90              0               1.49897         
0               10.2244         -0.375581       0.177455        -0.375581       
0.061248        2.7597          0.17845         1.16053         0.00232284      
