1 input_1.asc: UAV Cruise and satellite targeting Mar 14 2025 13:55:26
  0  0 50
time            mach_c1         lonx_c1         latx_c1         alt_c1          
dvbe_c1         psivgx_c1       thtvgx_c1       SBEG1_c1        SBEG2_c1        
SBEG3_c1        VBEG1_c1        VBEG2_c1        VBEG3_c1        SBII1_c1        
SBII2_c1        SBII3_c1        thrust_c1       mach_t1         lonx_t1         
latx_t1         alt_t1          dvbe_t1         psivgx_t1       thtvgx_t1       
SBEG1_t1        SBEG2_t1        SBEG3_t1        VBEG1_t1        VBEG2_t1        
VBEG3_t1        SBII1_t1        SBII2_t1        SBII3_t1        mach_s1         
lonx_s1         latx_s1         alt_s1          dvbe_s1         psivgx_s1       
thtvgx_s1       SBEG1_s1        SBEG2_s1        SBEG3_s1        VBEG1_s1        
VBEG2_s1        VBEG3_s1        SBII1_s1        SBII2_s1        SBII3_s1        
0               0               14.7            35.4            7000            
200             90              0               0               0               
0               1.74419e-12     200             -0              5.0287e+06      
1.31926e+06     3.69465e+06     0               0               15.4            
35.3            100             10              45              0               
0               0               0               7.07107         7.07107         
-0              5.01299e+06     1.38081e+06     3.68158e+06     0               
10              30              500000          7700            45              
0               0               0               0               5444.72         
5444.72         -0              5.86005e+06     1.03328e+06     3.43549e+06     
0               0.640464        14.7003         35.4            7000            
200.021         90.0005         -0.0560967      -4.67125e-05    10.0005         
0.00489589      -0.0018685      200.021         0.195836        5.0287e+06      
1.31928e+06     3.69465e+06     1342.26         0.0294195       15.4002         
35.3            100             9.99972         45.0017         0.00335744      
0.353543        0.353554        -1.46492e-05    7.07065         7.07108         
-0.000585967    5.01299e+06     1.38083e+06     3.68158e+06     26.1348         
10.0028         30.0023         500000          7700            45.0015         
0.00190595      272.232         272.24          -0.00640354     5444.58         
5444.87         -0.256142       5.85986e+06     1.03355e+06     3.43573e+06     
0.5             0.642296        14.7014         35.4            6999.08         
200.634         89.971          -0.875134       0.0142511       110.158         
0.920196        0.101407        200.611         3.06436         5.02862e+06     
1.31956e+06     3.69465e+06     1676.5          0.0294187       15.4003         
35.3            100             9.99972         45.0018         0.00340239      
3.88887         3.8891          -0.000309594    7.07065         7.07109         
-0.000593813    5.01293e+06     1.38101e+06     3.68158e+06     26.1348         
10.0291         30.025          500000          7699.99         45.0168         
0.00526015      2994.16         2995.03         -0.247167       5443.12         
5446.31         -0.706912       5.85801e+06     1.03621e+06     3.43809e+06     
1               0.643861        14.7025         35.4            6997.36         
201.099         89.9037         -0.973555       0.124048        210.589         
2.64101         0.337902        201.07          3.41686         5.02855e+06     
1.31984e+06     3.69465e+06     1676.49         0.0294187       15.4003         
